id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	31	257	257	312	55	0	55	0	0
1	54	0	0	378	299	24	378	55	0
3	26	700	700	713	13	0	13	0	0
4	13	1024	1024	1151	71	56	127	0	0
6	3	1440	1440	1536	96	0	96	0	0
7	43	1634	1634	1691	54	3	57	0	0
5	103	1376	1376	1783	185	72	407	150	0
8	31	1792	1792	1830	32	6	38	0	0
9	15	1863	1863	1902	39	0	39	0	0
10	21	1986	1986	2024	36	2	38	0	0
11	23	2048	2048	2104	54	2	56	0	0
12	11	2119	2119	2140	21	0	21	0	0
13	8	2383	2383	2445	45	17	62	0	0
15	2	2675	2675	2683	8	0	8	0	0
14	8	2613	2613	2685	25	39	72	8	0
16	3	2731	2731	2765	34	0	34	0	0
17	1	2859	2859	2862	3	0	3	0	0
18	16	3052	3052	3140	61	27	88	0	0
19	7	3435	3435	3581	146	0	146	0	0
20	3	3695	3695	3703	8	0	8	0	0
0	0	0	0	3703	2418	0	3703	1285	0
