id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	6	23	17	0	17	0	0
3	0	30	30	80	50	0	50	0	0
1	0	0	0	155	47	11	155	97	0
4	0	93	93	162	29	0	69	40	0
5	0	113	126	173	22	0	60	38	13
6	0	135	137	218	27	4	83	52	2
7	0	164	173	274	46	0	110	64	9
9	0	254	274	289	15	0	35	20	20
10	0	297	297	384	41	33	87	13	0
12	0	462	495	502	7	0	40	33	33
11	0	421	421	503	35	7	82	40	0
8	0	199	218	604	138	122	405	145	19
14	0	599	604	608	4	0	9	5	5
13	0	527	527	629	78	15	102	9	0
15	0	658	658	665	7	0	7	0	0
16	0	684	684	766	73	0	82	9	0
18	0	787	787	790	3	0	3	0	0
17	0	740	740	828	67	18	88	3	0
20	0	866	866	931	63	2	65	0	0
19	0	861	861	940	16	0	79	63	0
0	0	0	0	940	155	0	940	785	0
